intent,page_content
ACCOUNT_MGMT,로그인 시 비밀번호가 틀렸다고 나옵니다.
ACCOUNT_MGMT,아이디를 잊어버렸는데 어떻게 찾나요?
ACCOUNT_MGMT,비밀번호 재설정 링크가 메일로 오지 않아요.
ACCOUNT_MGMT,2단계 인증 기기를 변경하고 싶습니다.
ACCOUNT_MGMT,회원 탈퇴 절차는 어떻게 되나요?
ACCOUNT_MGMT,휴면 계정을 해제하고 싶습니다.
ACCOUNT_MGMT,이메일 주소를 변경하고 싶어요.
ACCOUNT_MGMT,소셜 로그인 연동을 해제하고 싶습니다.
ACCOUNT_MGMT,다른 기기에서 로그아웃하는 기능이 있나요?
ACCOUNT_MGMT,이름과 전화번호 등 개인정보를 수정하고 싶습니다.
ACCOUNT_MGMT,비밀번호를 주기적으로 변경하라는 알림이 떠요.
ACCOUNT_MGMT,가입한 적이 없는데 가입 완료 메일을 받았습니다.
ACCOUNT_MGMT,계정이 잠겼다는 메시지가 나옵니다.
ACCOUNT_MGMT,본인 인증 단계에서 자꾸 오류가 발생해요.
ACCOUNT_MGMT,아이디 찾기를 해도 일치하는 정보가 없다고 합니다.
ACCOUNT_MGMT,비밀번호에 특수문자를 꼭 넣어야 하나요?
ACCOUNT_MGMT,탈퇴 후 재가입은 언제부터 가능한가요?
ACCOUNT_MGMT,법인 계정으로 전환하고 싶습니다.
ACCOUNT_MGMT,내 접속 기록(IP)을 확인할 수 있나요?
ACCOUNT_MGMT,자녀 계정 생성 방법을 알려주세요.
BILLING,어제 결제한 내역을 취소하고 싶습니다.
BILLING,중복 결제가 발생했는데 확인 부탁드려요.
BILLING,환불을 신청했는데 언제 입금되나요?
BILLING,영수증(카드 전표)은 어디서 출력하나요?
BILLING,이번 달 요금이 생각보다 많이 나왔습니다.
BILLING,정기 결제 수단을 변경하고 싶습니다.
BILLING,쿠폰을 적용하지 못하고 결제했어요 소급 적용 되나요?
BILLING,결제 시 자꾸 카드 한도 초과라고 뜹니다.
BILLING,포인트로 결제하고 싶은데 어떻게 하나요?
BILLING,현금영수증 발행을 신청하고 싶습니다.
BILLING,할부 개월 수를 변경할 수 있나요?
BILLING,구독 해지 후 남은 기간에 대해 부분 환불 가능한가요?
BILLING,해외 카드로도 결제가 가능한가요?
BILLING,무통장 입금 확인은 얼마나 걸리나요?
BILLING,결제 시스템 점검 시간인가요 진행이 안 됩니다.
BILLING,유료 서비스 가격표를 볼 수 있을까요?
BILLING,연간 결제 시 할인 혜택이 있나요?
BILLING,미납 요금이 있다는 문자를 받았습니다.
BILLING,가상 계좌 번호를 잊어버렸습니다.
BILLING,결제 취소 문자는 왔는데 카드사 앱에는 그대로예요.
TECH_SUPPORT,앱이 자꾸 강제 종료됩니다.
TECH_SUPPORT,화면이 하얗게만 나오고 아무것도 안 떠요.
TECH_SUPPORT,사진 업로드가 계속 실패합니다.
TECH_SUPPORT,동영상 재생 시 소리가 나지 않아요.
TECH_SUPPORT,윈도우 11 환경에서 호환성 문제가 있나요?
TECH_SUPPORT,최신 버전으로 업데이트가 안 됩니다.
TECH_SUPPORT,로딩 속도가 너무 느려서 사용하기 불편해요.
TECH_SUPPORT,알림 설정은 켰는데 푸시 메시지가 안 옵니다.
TECH_SUPPORT,특정 메뉴를 클릭하면 페이지를 찾을 수 없음이 뜹니다.
TECH_SUPPORT,데이터 사용량이 너무 많은데 저화질 모드가 있나요?
TECH_SUPPORT,웹사이트 폰트가 깨져서 보입니다.
TECH_SUPPORT,캐시 삭제는 어떻게 하나요?
TECH_SUPPORT,PC 버전 설치 파일 다운로드가 안 됩니다.
TECH_SUPPORT,블루투스 이어폰 연결 시 싱크가 맞지 않아요.
TECH_SUPPORT,지도 화면에서 내 위치가 엉뚱한 곳으로 나옵니다.
TECH_SUPPORT,어두운 모드(다크 모드) 설정 기능이 있나요?
TECH_SUPPORT,서비스 점검 중인지 어디서 확인하나요?
TECH_SUPPORT,프로그램 실행 시 백신 프로그램이 차단합니다.
TECH_SUPPORT,인쇄 버튼을 눌렀는데 반응이 없어요.
TECH_SUPPORT,API 연동 문서가 어디에 있나요?
ORDER,제가 주문한 상품이 지금 어디쯤 왔나요?
ORDER,배송지 주소를 잘못 입력했는데 수정 가능할까요?
ORDER,어제 주문한 상품을 오늘 받을 수 있나요?
ORDER,상품이 누락되어 배송되었습니다.
ORDER,받은 물건이 파손되어 있어요 교환 원합니다.
ORDER,택배 기사님 연락처를 알 수 있을까요?
ORDER,주문 상태가 준비 중에서 변하지 않아요.
ORDER,송장 번호를 확인하고 싶습니다.
ORDER,편의점 픽업으로 주문할 수 있나요?
ORDER,배송 전 주문 취소는 어떻게 하나요?
ORDER,옵션(사이즈/색상)을 잘못 선택했어요 변경해 주세요.
ORDER,해외 배송도 지원하는 서비스인가요?
ORDER,반품 택배비는 누가 부담하나요?
ORDER,선물하기 기능으로 보낸 상품의 수령 여부를 알고 싶어요.
ORDER,재입고 알림 신청은 어떻게 하나요?
ORDER,묶음 배송으로 받고 싶습니다.
ORDER,군부대 배송이 가능한가요?
ORDER,배송 완료라고 뜨는데 문 앞에 물건이 없습니다.
ORDER,대량 주문 시 할인이 적용되나요?
ORDER,새벽 배송 가능 지역인지 궁금합니다.
OFF_TOPIC,오늘 점심 메뉴 추천해줘.
OFF_TOPIC,너는 사람이니 아니면 로봇이니?
OFF_TOPIC,여기서 가장 가까운 맛집 알려줘.
OFF_TOPIC,지금 서울 날씨가 어때?
OFF_TOPIC,심심한데 농담 하나만 해봐.
OFF_TOPIC,비트코인 시세 좀 알려줘.
OFF_TOPIC,너를 만든 회사는 어디야?
OFF_TOPIC,사랑해.
OFF_TOPIC,축구 경기 결과 누가 이겼어?
OFF_TOPIC,내일 아침 7시에 깨워줄 수 있어?
OFF_TOPIC,MBTI가 뭐야?
OFF_TOPIC,로또 번호 6개만 찍어줘.
OFF_TOPIC,주말에 가볼 만한 여행지 추천해줘.
OFF_TOPIC,영어 공부 어떻게 하면 잘할 수 있을까?
OFF_TOPIC,요즘 유행하는 노래가 뭐야?
OFF_TOPIC,나 오늘 생일이야 축하해줘.
OFF_TOPIC,세상에서 제일 키 큰 동물이 뭐야?
OFF_TOPIC,코딩 잘하는 법 알려줘.
OFF_TOPIC,너랑 대화하면 재밌다.
OFF_TOPIC,유튜브에서 재밌는 채널 추천해줘.